road_name,distinction,osm_type,osm_id,lat,lon,display_name,class,type,date_time,demonstration,road_id,road_len,rank,congestion_index,speed,travel_time,delay_time,w_congestion
深圳市科苑北路, 南山区,way,231901936,22.5425273,113.9407529,"科苑北路, 粤海街道, 南山区, 深圳市, 广东省, 518000, 中国",highway,primary,"2022-04-01,10:38:21",从宝深路到科发路-由北向南,30546,2017,1,5.9,5.4,22.2,18.5,120.06500000000001
深圳市凤安路, 龙岗区,way,979452268,22.6764434,114.1321631,"凤安路, 平湖街道, 龙岗区, 深圳市, 广东省, 518100, 中国",highway,tertiary,"2022-04-01,10:38:21",从凤凰大道到华南二道-由东向西,1006599,3070,2,3.8,12.1,15.2,11.2,50.16
深圳市南海大道, 南山区,way,633620770,22.532849,113.9257836,"南海大道, 粤海街道, 南山区, 田下村, 深圳市, 广东省, 518000, 中国",highway,primary,"2022-04-01,10:38:21",从同乐路到兴海大道-由北向南,1000416,9860,3,3.4,15.2,39.0,27.4,112.88000000000001
深圳市桃花路, 福田保税区,way,875261259,22.5118665,114.056627,"桃花路, 福保社区, 福田保税区, 深圳市, 福田区, 深圳市, 广东省, 518000, 中国",highway,tertiary,"2022-04-01,10:38:21",由东向西,1002269,3071,4,2.8,12.6,14.6,9.3,33.459999999999994
深圳市凤凰山大道, 宝安区,way,301052128,22.6860269,113.8433664,"凤凰山大道, 福永街道, 宝安区, 深圳市, 广东省, 518100, 中国",highway,secondary,"2022-04-01,10:38:21",由东向西,28100,2482,5,2.5,16.0,9.3,5.6,18.625
深圳市福永大道, 宝安区,way,606675978,22.6771108,113.8296292,"福永大道, 福永街道, 宝安区, 深圳市, 广东省, 518100, 中国",highway,secondary,"2022-04-01,10:38:21",从福凤路到宝安大道-由东向西,1003180,3210,6,2.5,14.6,13.2,8.0,26.5
深圳市桂花路, 福田保税区,way,910437401,22.5143598,114.0378945,"桂花路, 翠湾社区, 福田保税区, 深圳市, 福田区, 深圳市, 广东省, 518000, 中国",highway,tertiary,"2022-04-01,10:38:21",由北向南,28714,3727,7,2.5,14.6,15.4,9.1,30.625
深圳市同乐路, 东门街道,way,884707180,22.55419,114.1181052,"童乐路, 东门, 东门街道, 罗湖区, 凤凰社区, 深圳市, 广东省, 518000, 中国",highway,residential,"2022-04-01,10:38:21",从沙河西路到南海大道-由北向南,1003623,4776,8,2.5,23.5,12.2,7.2,24.25
深圳市北环大道辅路, 南山区,way,609924749,22.5543772,113.9146811,"北环大道辅路, 南头街道, 南山区, 南头古城, 深圳市, 广东省, 518000, 中国",highway,primary,"2022-04-01,10:38:21",从深南大道到北环大道入口-由西向东,48,8950,9,2.3,20.8,25.8,14.8,46.69
深圳市创业二路, 宝安区,way,684672336,22.5676155,113.8929278,"创业二路, 新安街道, 宝安区, 深圳市, 广东省, 518100, 中国",highway,primary,"2022-04-01,10:38:21",从创业立交到留仙三路-由西向东,1206,3225,10,2.3,18.3,10.6,5.9,18.974999999999998
